subcategory_id,subcategory
1,Кофе в зернах
2,Кофе растворимый
3,Капсулы для кофемашин
4,Кофе молотый
5,Кофе порционный
6,Цикорий
7,Горячий шоколад и какао
8,Чай в стиках
9,Чай черный пакетированный
10,Чай зеленый пакетированный
11,"Чай травяной, фруктовый пакетированный"
12,Чай ассорти пакетированный
13,"Чай травяной, фруктовый листовой"
14,Чай черный листовой
15,Чай зеленый листовой
16,Чай ассорти листовой
17,Чай в пакетиках для чайников
18,Элитная вода
19,Вода газированная
20,Вода негазированная
21,Бутилированная вода
22,Соки и нектары
23,"Вода сладкая газированная, квас"
24,Морсы
25,Холодный чай и кофейные напитки
26,Безалкогольное пиво и вино
27,Паштеты
28,Мясные консервы
29,Рыбные консервы и икра
30,Сиропы и топпинги
31,"Джемы, конфитюр, варенье, пасты"
32,Мед
33,Овощные и грибные консервы
34,Фруктовые консервы
35,Макаронные изделия
36,Мука и смеси для выпечки
37,Крупы и бобовые
38,Орехи
39,Сухофрукты и коктейли
40,Сыр
41,Сырная тарелка
42,Колбасные изделия
43,Мясные деликатесы
44,"Сосиски, сардельки, колбаски"
45,"Слабосоленая,соленая,копченая рыба"
46,Закуски из рыбы и морепродуктов
47,Яйца
48,Жевательные резинки
49,"Чипсы, сухарики, семечки"
50,Рыбные снеки
51,Конфеты
52,"Шоколад порционный, плитки, батончики"
53,Вафли
54,"Торты, пироги"
55,Пирожные
56,Батончики мюсли
57,"Печенье, крекеры, пряники"
58,Кондитерские изделия весовые
59,"Круассаны, кексы, рулеты"
60,"Зефир, пастила, мармелад"
61,Восточные сладости
62,"Марципан, пастила, зефир в подарочной упаковке"
63,Хлебобулочные изделия
64,Подарочные фруктовые корзины
65,Подарочные продуктовые корзины
66,Молоко
67,Сливки
68,"Кефир, ряженка"
69,Творог
70,Молоко сгущенное
71,Сырки глазированные
72,Сметана
73,"Йогурты, творожки, десерты"
74,Сливочное масло
75,Услуги и аксессуары
76,Вода бутилированная
77,Сахар
78,Соль
79,Растительные и оливковые масла
80,Приправы и специи
81,"Соусы, горчица, хрен"
82,"Сода, крахмал, уксус, пищевые добавки"
83,Кетчупы и томатные пасты
84,Майонезы
85,Каши
86,Сухие завтраки
87,Картофельное пюре
88,Супы
89,Лапша быстрого приготовления
90,Готовые обеды
91,Фрукты и ягоды
92,Фруктовые наборы
93,Свежие грибы
94,"Свежие салаты,зелень"
95,Овощи
96,Овощные наборы
97,Приправы и специи
98,"Соусы, горчица, хрен"
99,"Сода, крахмал, уксус, пищевые добавки"
100,Кетчупы и томатные пасты
101,Майонезы
102,Икра
103,"Хлебные палочки, соломка"
104,"Сушки, баранки и сухари"
105,Хлеб и хлебцы
106,Выпечка
107,Наборы конфет в коробках
108,Шоколадные конфеты
109,"Леденцы, Карамель, Драже"
110,Корм для собак
111,Кофе в зернах
112,Кофе растворимый
113,Капсулы для кофемашин
114,Кофе молотый
115,Кофе порционный
116,Горячий шоколад и какао
117,Цикорий
118,Молоко
119,Сливки
120,Творог
121,Сырки глазированные
122,Молоко сгущенное
123,"Йогурты, творожки, десерты"
124,"Кефир, ряженка"
125,Сливочное масло
126,Сметана
127,Халва и козинаки
128,Наборы в коробках
129,Джемы и варенье
130,Мясные нарезки
131,Сосиски и сардельки
132,Сырные наборы
133,Сахар
134,Соль
135,Растительные и оливковые масла
136,Вода негазированная
137,Вода газированная
138,Бутилированная вода
139,Морсы
140,Соки и нектары
141,"Вода сладкая газированная, квас"
142,Безалкогольное пиво и вино
143,Холодный чай и кофейные напитки
144,Элитная вода
145,Пирожные
146,"Круассаны, кексы, рулеты"
147,"Торты, пироги"
148,"Шоколад порционный, плитки, батончики"
149,Грибы
150,Рыба слабосоленая
151,Колбасы
152,Закуски из морепродуктов
153,Подарочные корзины
154,Фруктовые корзины
155,Батончики мюсли
156,Пюре для детского питания
157,"Каши, сухие смеси"
158,В зернах
159,Растворимый
160,Молотый
161,Порционный
162,Черный пакетированный
163,Зеленый пакетированный
164,Черный листовой
165,Ассорти пакетированный
166,"Травяной, фруктовый пакетированный"
167,Зеленый листовой
168,Ассорти листовой
169,"Травяной, фруктовый листовой"
170,В стиках
171,В пакетиках для чайников
